ds,y
2023-01-01,120
2023-01-02,125
2023-01-03,130
2023-01-04,120
2023-01-05,115
2023-01-06,110
2023-01-07,105
2023-01-08,120
2023-01-09,130
2023-01-10,125
2023-01-11,120
2023-01-12,115
2023-01-01,120
2023-01-02,125
2023-01-03,130
2023-01-04,120
2023-01-05,115
2023-01-06,110
2023-01-07,105
2023-01-08,120
2023-01-09,130
2023-01-10,125
2023-01-11,120
2023-01-12,115
2023-01-13,110
2023-01-14,120
2023-01-15,125
2023-01-16,130
2023-01-17,120
2023-01-18,115
2023-01-19,110
2023-01-20,105
2023-01-21,120
2023-01-22,130
2023-01-23,125
2023-01-24,120
2023-01-25,115
2023-01-26,110
2023-01-27,120
2023-01-28,130
2023-01-29,125
2023-01-30,120
2023-01-31,115
2023-02-01,110
2023-02-02,105
2023-02-03,120
2023-02-04,130
2023-02-05,125
2023-02-06,120
2023-02-07,115
2023-02-08,110
2023-02-09,120
2023-02-10,130
2023-02-11,125
2023-02-12,120
2023-02-13,115
2023-02-14,110
2023-02-15,120
2023-02-16,130
2023-02-17,125
2023-02-18,120
2023-02-19,115
2023-02-20,110
2023-02-21,120
2023-02-22,130
2023-02-23,125
2023-02-24,120
2023-02-25,115
2023-02-26,110
2023-02-27,120
2023-02-28,130
2023-03-01,125
